Level,Course Category,Country,Country Famous For,Approx Current Cost (INR),Suggested Duration,Category,Living Cost Included,Lifestyle Level,Future Inflation Rate (%)
Post Graduation,MBA,Canada,Affordable Global MBA,9000000,2 Years,Premium,Yes,Balanced Global Career,8
Post Graduation,Data Science,USA,AI & Big Data Industry,13000000,1-2 Years,Premium,Yes,Future Tech Career,8
Post Graduation,AI & ML,Germany,Industrial Automation,7000000,2 Years,Moderate,Yes,Advanced Technology,8
Post Graduation,Finance,UK,Global Finance Sector,11000000,1-2 Years,Premium,Yes,Investment Banking Lifestyle,8
Post Graduation,Medicine,Australia,Advanced Healthcare Training,15000000,2-3 Years,Premium,Yes,Advanced Healthcare Career,9
Post Graduation,Cyber Security,Canada,Digital Security Industry,8500000,1-2 Years,Moderate,Yes,Secure Tech Career,8
Post Graduation,Business Analytics,Singapore,Corporate Analytics Ecosystem,8000000,1-2 Years,Moderate,Yes,Data Driven Career,8
Post Graduation,Luxury Management,Switzerland,Luxury Brand Management,14000000,1-2 Years,Ultra Premium,Yes,Luxury Brand Career,8
Post Graduation,Film Making,USA,Hollywood & Media Industry,12500000,2 Years,Premium,Yes,Creative Entertainment Lifestyle,8
Post Graduation,Digital Marketing,Ireland,European Tech Hub,7000000,1 Year,Moderate,Yes,Modern Corporate Lifestyle,8
Post Graduation,Blockchain,Dubai (UAE),Crypto & Fintech Innovation,9500000,1-2 Years,Premium,Yes,Future Finance Lifestyle,8
Post Graduation,Sports Management,Australia,Sports Infrastructure,8500000,1-2 Years,Premium,Yes,Sports Business Career,8
Post Graduation,Public Policy,France,Global Diplomacy & Policy,9000000,1-2 Years,Premium,Yes,Government Leadership Career,8
Post Graduation,Renewable Energy,Denmark,Green Energy Innovation,8000000,2 Years,Moderate,Yes,Sustainable Future Career,8
Post Graduation,Robotics,Japan,Robotics & Automation,10000000,2 Years,Premium,Yes,Advanced Technology Lifestyle,8
Post Graduation,Entrepreneurship,Israel,Startup Ecosystem,8500000,1-2 Years,Moderate,Yes,Innovation Driven Career,8
Post Graduation,MD/MS,India,Specialized Medical Education,5000000,3 Years,Premium,Yes,Specialist Doctor Career,9
Post Graduation,MD/MS,USA,Advanced Medical Specialization,22000000,3-5 Years,Ultra Premium,Yes,Elite Healthcare Career,9
Post Graduation,MD/MS,UK,Historic Healthcare Institutions,18000000,3-4 Years,Premium,Yes,Global Specialist Career,9
Post Graduation,Healthcare Management,Singapore,Modern Healthcare Ecosystem,8500000,1-2 Years,Premium,Yes,Healthcare Leadership Career,8
Post Graduation,Public Health,Canada,Healthcare Research,9000000,1-2 Years,Moderate,Yes,Global Health Career,8
